Infosheet diagnostics
Sample	Gene	Issue
Sample: BFX0034312.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: BFX0034487.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: D402007253.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: D402007309.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040505.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040523.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040547.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040549.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040551.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040552.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040553.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040557.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040566.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040582.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040585.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040590.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040595.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040596.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040601.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040603.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040604.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040605.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040606.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040609.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040611.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040613.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040615.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040615.docx	Gene: MTHFR677	Issue: Implausible phenotype
Sample: G001040615.docx	Gene: MTHFR677	Issue: Implausible genotype
Sample: G001040624.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040626.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040632.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040633.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040634.docx	 Issue: Not all genes present
	COMT
	CYP1A2
	CYP2B6
	CYP2C19
	CYP2C9
	CYP2D6
	CYP3A4
	CYP3A5
	DPYD
	HLA-B*1502
	TPMT
	UGT1A1
Sample: G001040646.docx	 Issue: Not all genes present
